date,new_cases_national,cumulative_cases,new_cases_Ituri,new_cases_North_Kivu,new_cases_South_Kivu,new_case definition,new_confirmed,new_probable
2018-08-12,28.0,28.0,15.0,13.0,0.0,0.0,14.0,0.0
2018-08-20,90.0,118.0,51.0,39.0,0.0,0.0,45.0,0.0
2018-08-26,18.0,136.0,9.0,9.0,0.0,0.0,8.0,1.0
2018-09-02,22.0,158.0,12.0,10.0,0.0,0.0,8.0,3.0
2018-09-09,20.0,178.0,11.0,9.0,0.0,0.0,10.0,0.0
2018-09-16,20.0,198.0,10.0,10.0,0.0,0.0,10.0,0.0
2018-09-23,16.0,214.0,10.0,6.0,0.0,0.0,8.0,0.0
2018-10-02,24.0,238.0,13.0,11.0,0.0,0.0,11.0,1.0
2018-10-07,38.0,276.0,19.0,19.0,0.0,0.0,16.0,3.0
2018-10-15,70.0,346.0,35.0,35.0,0.0,0.0,35.0,0.0
2018-10-21,44.0,390.0,22.0,22.0,0.0,0.0,22.0,0.0
2018-10-28,72.0,462.0,36.0,36.0,0.0,0.0,36.0,0.0
2018-11-04,52.0,514.0,26.0,26.0,0.0,0.0,26.0,0.0
2018-11-11,66.0,580.0,41.0,25.0,0.0,0.0,30.0,3.0
2018-11-19,80.0,660.0,40.0,40.0,0.0,0.0,31.0,9.0
2018-11-26,96.0,756.0,48.0,48.0,0.0,0.0,48.0,0.0
2018-12-03,64.0,820.0,39.0,25.0,0.0,0.0,31.0,1.0
2018-12-10,94.0,914.0,48.0,46.0,0.0,0.0,47.0,0.0
2018-12-16,78.0,992.0,48.0,30.0,0.0,0.0,39.0,0.0
2018-12-25,92.0,1084.0,58.0,34.0,0.0,0.0,46.0,0.0
2019-01-01,46.0,1130.0,25.0,21.0,0.0,0.0,23.0,0.0
2019-01-06,34.0,1164.0,10.0,24.0,0.0,0.0,17.0,0.0
2019-01-14,66.0,1230.0,37.0,29.0,0.0,0.0,32.0,1.0
2019-01-21,82.0,1312.0,41.0,41.0,0.0,0.0,41.0,0.0
2019-01-28,88.0,1400.0,49.0,39.0,0.0,0.0,39.0,5.0
2019-02-03,84.0,1484.0,42.0,42.0,0.0,0.0,42.0,0.0
2019-02-10,62.0,1546.0,31.0,31.0,0.0,0.0,24.0,7.0
2019-02-17,48.0,1594.0,30.0,18.0,0.0,0.0,20.0,4.0
2019-02-24,64.0,1658.0,32.0,32.0,0.0,0.0,32.0,0.0
2019-03-03,50.0,1708.0,28.0,22.0,0.0,0.0,25.0,0.0
2019-03-10,52.0,1760.0,29.0,23.0,0.0,0.0,26.0,0.0
2019-03-17,74.0,1834.0,42.0,32.0,0.0,0.0,37.0,0.0
2019-03-24,112.0,1946.0,66.0,46.0,0.0,0.0,56.0,0.0
2019-03-31,146.0,2092.0,83.0,63.0,0.0,0.0,72.0,1.0
2019-04-07,130.0,2222.0,75.0,55.0,0.0,0.0,65.0,0.0
2019-04-14,220.0,2442.0,119.0,101.0,0.0,0.0,110.0,0.0
2019-04-22,178.0,2620.0,97.0,81.0,0.0,0.0,89.0,0.0
2019-04-28,226.0,2846.0,134.0,92.0,0.0,0.0,113.0,0.0
2019-05-05,212.0,3058.0,121.0,91.0,0.0,0.0,106.0,0.0
2019-05-12,266.0,3324.0,142.0,124.0,0.0,0.0,111.0,22.0
2019-05-19,242.0,3566.0,129.0,113.0,0.0,0.0,121.0,0.0
2019-05-26,188.0,3754.0,100.0,88.0,0.0,0.0,88.0,6.0
2019-06-02,176.0,3930.0,92.0,84.0,0.0,0.0,88.0,0.0
2019-06-12,126.0,4056.0,78.0,48.0,0.0,0.0,63.0,0.0
2019-06-16,194.0,4250.0,111.0,83.0,0.0,0.0,97.0,0.0
2019-06-23,158.0,4408.0,94.0,64.0,0.0,0.0,79.0,0.0
2019-06-30,182.0,4590.0,95.0,87.0,0.0,0.0,91.0,0.0
2019-07-07,160.0,4750.0,87.0,73.0,0.0,0.0,80.0,0.0
2019-07-14,166.0,4916.0,86.0,80.0,0.0,0.0,83.0,0.0
2019-07-21,182.0,5098.0,108.0,74.0,0.0,0.0,91.0,0.0
2019-07-28,158.0,5256.0,97.0,61.0,0.0,0.0,79.0,0.0
2019-08-04,184.0,5440.0,120.0,64.0,0.0,0.0,92.0,0.0
