date,cases_Guinea,cases_Liberia,cases_Sierra Leone,deaths_Guinea,deaths_Liberia,deaths_Sierra Leone,cases_WestAfrica_total,deaths_WestAfrica_total
2014-08-29,482.0,322.0,935.0,287.0,225.0,380.0,1739.0,892.0
2014-09-05,604.0,614.0,1146.0,362.0,431.0,443.0,2364.0,1236.0
2014-09-08,664.0,634.0,1234.0,400.0,508.0,461.0,2532.0,1369.0
2014-09-12,678.0,654.0,1287.0,403.0,498.0,478.0,2619.0,1379.0
2014-09-16,743.0,790.0,1464.0,429.0,563.0,514.0,2997.0,1506.0
2014-09-18,750.0,812.0,1513.0,435.0,631.0,517.0,3075.0,1583.0
2014-09-22,818.0,863.0,1640.0,465.0,670.0,545.0,3321.0,1680.0
2014-09-24,832.0,890.0,1745.0,468.0,671.0,552.0,3467.0,1691.0
2014-09-26,876.0,914.0,1816.0,481.0,792.0,557.0,3606.0,1830.0
2014-10-01,950.0,927.0,2076.0,535.0,890.0,574.0,3953.0,1999.0
2014-10-03,977.0,931.0,2179.0,562.0,934.0,575.0,4087.0,2071.0
2014-10-08,1044.0,941.0,2455.0,587.0,1018.0,725.0,4440.0,2330.0
2014-10-10,1097.0,943.0,2593.0,598.0,1072.0,753.0,4633.0,2423.0
2014-10-15,1184.0,950.0,2849.0,653.0,1128.3333333333333,926.0,4983.0,2707.333333333333
2014-10-17,1217.0,957.5,2977.0,671.0,1184.6666666666667,932.0,5151.5,2787.666666666667
2014-10-22,1289.0,965.0,3223.0,710.0,1241.0,986.0,5477.0,2937.0
2014-10-25,1312.0,965.0,3389.0,732.0,1241.0,1008.0,5666.0,2981.0
2014-10-29,1391.0,2515.0,3700.0,767.0,1294.8541666666667,969.6666666666666,7606.0,3031.5208333333335
2014-10-31,1409.0,2515.0,3778.0,802.0,1348.7083333333333,931.3333333333334,7702.0,3082.0416666666665
2014-11-05,1457.0,2451.0,4057.0,837.0,1402.5625,893.0,7965.0,3132.5625
2014-11-07,1479.0,2514.0,4149.0,850.0,1456.4166666666667,921.0,8142.0,3227.416666666667
2014-11-12,1612.0,2553.0,4523.0,934.0,1510.2708333333333,960.0,8688.0,3404.270833333333
2014-11-14,1647.0,2562.0,4683.0,958.0,1564.125,978.0,8892.0,3500.125
2014-11-19,1698.0,2643.0,5056.0,982.0,1617.9791666666665,1041.0,9397.0,3640.9791666666665
2014-11-21,1745.0,2669.0,5152.0,998.0,1671.8333333333333,1058.0,9566.0,3727.833333333333
2014-11-26,1850.0,2727.0,5441.0,1050.0,1725.6875,1189.0,10018.0,3964.6875
2014-12-01,1921.0,2801.0,5831.0,1102.0,1779.5416666666665,1321.0,10553.0,4202.541666666666
2014-12-03,1929.0,2801.0,5978.0,1117.0,1833.3958333333333,1374.0,10708.0,4324.395833333333
2014-12-10,2051.0,2830.0,6375.0,1207.0,1887.25,1559.0,11256.0,4653.25
2014-12-15,2115.0,2946.0,6638.0,1255.0,1941.1041666666665,1824.0,11699.0,5020.104166666666
2014-12-17,2127.0,2946.0,6702.0,1262.0,1994.9583333333333,1876.0,11775.0,5132.958333333333
2014-12-22,2259.0,3085.0,6975.0,1323.0,2048.8125,2190.0,12319.0,5561.8125
2014-12-23,2284.0,3085.0,7017.0,1344.0,2102.6666666666665,2216.0,12386.0,5662.666666666666
2014-12-24,2284.0,3085.0,7017.0,1344.0,2156.520833333333,2216.0,12386.0,5716.520833333333
2014-12-26,2342.0,3085.0,7160.0,1385.0,2210.375,2289.0,12587.0,5884.375
2014-12-29,2384.0,3108.0,7326.0,1422.0,2264.2291666666665,2366.0,12818.0,6052.229166666666
2014-12-30,2397.0,3108.0,7354.0,1433.0,2318.083333333333,2392.0,12859.0,6143.083333333333
2014-12-31,2397.0,3110.0,7354.0,1433.0,2371.9375,2392.0,12861.0,6196.9375
